date,crash,fat1,cause1,fat2,cause2,fat3,cause3,fat4,cause4,fat5,cause5,unknown,1
2004-Jan,17,148,1,37,4,1,5,0,0,0,0,mechanical,2
2004-Feb,16,43,1,0,0,0,0,0,0,0,0,criminal,3
2004-Mar,18,0,0,0,0,0,0,0,0,0,0,weather,4
2004-Apr,17,0,0,0,0,0,0,0,0,0,0,humman_error,5
2004-May,18,1,4,33,1,0,0,0,0,0,0,,
2004-Jun,14,19,2,2,2,0,0,0,0,0,0,,
2004-Jul,23,0,0,0,0,0,0,0,0,0,0,,
2004-Aug,20,44,3,46,3,0,0,0,0,0,0,,
2004-Sep,23,0,0,0,0,0,0,0,0,0,0,,
2004-Oct,28,13,5,0,0,0,0,0,0,0,0,,
2004-Nov,19,4,4,55,4,3,5,2,5,25,4,,
2004-Dec,15,0,0,0,0,0,0,0,0,0,0,,
2005-Jan,16,0,0,0,0,0,0,0,0,0,0,,
2005-Feb,16,104,4,2,4,0,0,0,0,0,0,,
2005-Mar,14,28,5,9,2,0,0,0,0,0,0,,
2005-Apr,15,17,1,3,2,0,0,0,0,0,0,,
2005-May,16,10,5,15,5,27,1,0,0,0,0,,
2005-Jun,17,7,2,0,0,0,0,0,0,0,0,,
2005-Jul,15,60,1,0,0,0,0,0,0,0,0,,
2005-Aug,32,16,5,121,5,160,5,40,5,0,0,,
2005-Sep,20,11,4,149,5,13,1,0,0,0,0,,
2005-Oct,16,117,5,0,0,0,0,0,0,0,0,,
2005-Nov,14,0,0,0,0,0,0,0,0,0,0,,
2005-Dec,21,1,5,108,5,20,5,23,2,0,0,,
2006-Jan,17,0,0,0,0,0,0,0,0,0,0,,
2006-Feb,17,0,0,0,0,0,0,0,0,0,0,,
2006-Mar,15,19,5,0,0,0,0,0,0,0,0,,
2006-Apr,21,1,4,5,5,0,0,0,0,0,0,,
2006-May,23,113,5,0,0,0,0,0,0,0,0,,
2006-Jun,13,9,5,0,0,0,0,0,0,0,0,,
2006-Jul,16,125,5,45,5,0,0,0,0,0,0,,
2006-Aug,31,17,1,170,5,49,5,0,0,0,0,,
2006-Sep,26,28,1,154,5,0,0,0,0,0,0,,
2006-Oct,18,4,2,96,5,0,0,0,0,0,0,,
2006-Nov,15,1,2,12,1,0,0,0,0,0,0,,
2006-Dec,12,0,0,0,0,0,0,0,0,0,0,,
2007-Jan,14,102,5,0,0,0,0,0,0,0,0,,
2007-Feb,13,0,0,0,0,0,0,0,0,0,0,,
2007-Mar,11,21,5,6,5,0,0,0,0,0,0,,
2007-Apr,12,0,0,0,0,0,0,0,0,0,0,,
2007-May,16,114,5,0,0,0,0,0,0,0,0,,
2007-Jun,15,1,1,22,1,6,1,0,0,0,0,,
2007-Jul,18,199,1,0,0,0,0,0,0,0,0,,
2007-Aug,14,20,2,0,0,0,0,0,0,0,0,,
2007-Sep,21,90,5,0,0,0,0,0,0,0,0,,
2007-Oct,12,17,5,0,0,0,0,0,0,0,0,,
2007-Nov,11,57,5,0,0,0,0,0,0,0,0,,
2007-Dec,13,0,0,0,0,0,0,0,0,0,0,,
2008-Jan,19,14,2,13,5,0,0,0,0,0,0,,
2008-Feb,14,46,5,0,0,0,0,0,0,0,0,,
2008-Mar,16,0,0,0,0,0,0,0,0,0,0,,
2008-Apr,13,19,1,40,1,13,1,0,0,0,0,,
2008-May,14,21,2,5,5,0,0,0,0,0,0,,
2008-Jun,13,30,5,0,0,0,0,0,0,0,0,,
2008-Jul,13,9,5,0,0,0,0,0,0,0,0,,
2008-Aug,21,154,5,65,5,0,0,0,0,0,0,,
2008-Sep,20,88,5,0,0,0,0,0,0,0,0,,
2008-Oct,13,18,5,0,0,0,0,0,0,0,0,,
2008-Nov,12,0,0,0,0,0,0,0,0,0,0,,
2008-Dec,14,0,0,0,0,0,0,0,0,0,0,,
2009-Jan,37,0,0,0,0,0,0,0,0,0,0,,
2009-Feb,49,24,2,50,5,9,2,0,0,0,0,,
2009-Mar,19,0,0,0,0,0,0,0,0,0,0,,
2009-Apr,13,0,0,0,0,0,0,0,0,0,0,,
2009-May,18,0,0,0,0,0,0,0,0,0,0,,
2009-Jun,80,228,5,152,5,0,0,0,0,0,0,,
2009-Jul,28,168,1,16,5,0,0,0,0,0,0,,
2009-Aug,19,15,5,1,1,0,0,0,0,0,0,,
2009-Sep,20,0,0,0,0,0,0,0,0,0,0,,
2009-Oct,14,0,0,0,0,0,0,0,0,0,0,,
2009-Nov,14,1,2,0,0,0,0,0,0,0,0,,
2009-Dec,19,0,0,0,0,0,0,0,0,0,0,,
2010-Jan,18,90,5,0,0,0,0,0,0,0,0,,
2010-Feb,16,0,0,0,0,0,0,0,0,0,0,,
2010-Mar,16,0,0,0,0,0,0,0,0,0,0,,
2010-Apr,18,0,0,0,0,0,0,0,0,0,0,,
2010-May,40,103,4,44,4,158,5,0,0,0,0,,
2010-Jun,16,0,0,0,0,0,0,0,0,0,0,,
2010-Jul,20,152,5,0,0,0,0,0,0,0,0,,
2010-Aug,18,2,5,44,5,0,0,0,0,0,0,,
2010-Sep,21,17,1,0,0,0,0,0,0,0,0,,
2010-Oct,14,0,0,0,0,0,0,0,0,0,0,,
2010-Nov,15,68,5,0,0,0,0,0,0,0,0,,
2010-Dec,13,2,2,0,0,0,0,0,0,0,0,,
2011-Jan,12,3,2,77,4,0,0,0,0,0,0,,
2011-Feb,14,6,4,14,1,0,0,0,0,0,0,,
2011-Mar,13,0,0,0,0,0,0,0,0,0,0,,
2011-Apr,17,32,4,0,0,0,0,0,0,0,0,,
2011-May,17,25,5,22,2,0,0,0,0,0,0,,
2011-Jun,14,47,5,0,0,0,0,0,0,0,0,,
2011-Jul,14,77,4,7,5,16,2,0,0,0,0,,
2011-Aug,17,12,5,0,0,0,0,0,0,0,0,,
2011-Sep,31,8,1,44,5,3,1,19,5,18,1,,
2011-Oct,13,28,2,0,0,0,0,0,0,0,0,,
2011-Nov,13,0,0,0,0,0,0,0,0,0,0,,
2011-Dec,12,0,0,0,0,0,0,0,0,0,0,,
2012-Jan,12,0,0,0,0,0,0,0,0,0,0,,
2012-Feb,11,0,0,0,0,0,0,0,0,0,0,,
2012-Mar,13,0,0,0,0,0,0,0,0,0,0,,
2012-Apr,15,33,5,127,5,0,0,0,0,0,0,,
2012-May,17,15,1,0,0,0,0,0,0,0,0,,
2012-Jun,17,163,2,2,3,0,0,0,0,0,0,,
2012-Jul,15,0,0,0,0,0,0,0,0,0,0,,
2012-Aug,15,32,4,4,1,0,0,0,0,0,0,,
2012-Sep,17,10,5,19,2,0,0,0,0,0,0,,
2012-Oct,14,0,0,0,0,0,0,0,0,0,0,,
2012-Nov,13,0,0,0,0,0,0,0,0,0,0,,
2012-Dec,14,1,1,2,1,0,0,0,0,0,0,,
2013-Jan,15,21,4,0,0,0,0,0,0,0,0,,
2013-Feb,17,5,5,0,0,0,0,0,0,0,0,,
2013-Mar,14,0,0,0,0,0,0,0,0,0,0,,
2013-Apr,14,0,0,0,0,0,0,0,0,0,0,,
2013-May,20,0,0,0,0,0,0,0,0,0,0,,
2013-Jun,18,0,0,0,0,0,0,0,0,0,0,,
2013-Jul,60,2,5,10,1,0,0,0,0,0,0,,
2013-Aug,19,0,0,0,0,0,0,0,0,0,0,,
2013-Sep,17,0,0,0,0,0,0,0,0,0,0,,
2013-Oct,15,49,4,0,0,0,0,0,0,0,0,,
2013-Nov,18,50,1,33,1,0,0,0,0,0,0,,
2013-Dec,16,0,0,0,0,0,0,0,0,0,0,,
2014-Jan,18,0,0,0,0,0,0,0,0,0,0,,
2014-Feb,16,18,4,0,0,0,0,0,0,0,0,,
2014-Mar,100,239,1,0,0,0,0,0,0,0,0,,
2014-Apr,27,0,0,0,0,0,0,0,0,0,0,,
2014-May,15,0,0,0,0,0,0,0,0,0,0,,
2014-Jun,15,0,0,0,0,0,0,0,0,0,0,,
2014-Jul,79,298,3,48,4,116,4,0,0,0,0,,
2014-Aug,19,39,1,0,0,0,0,0,0,0,0,,
2014-Sep,18,0,0,0,0,0,0,0,0,0,0,,
2014-Oct,15,0,0,0,0,0,0,0,0,0,0,,
2014-Nov,15,0,0,0,0,0,0,0,0,0,0,,
2014-Dec,27,162,4,0,0,0,0,0,0,0,0,,
2015-Jan,32,0,0,0,0,0,0,0,0,0,0,,
2015-Feb,29,43,1,0,0,0,0,0,0,0,0,,
2015-Mar,60,150,1,0,0,0,0,0,0,0,0,,
2015-Apr,25,0,0,0,0,0,0,0,0,0,0,,
2015-May,16,0,0,0,0,0,0,0,0,0,0,,
2015-Jun,15,0,0,0,0,0,0,0,0,0,0,,
2015-Jul,18,0,0,0,0,0,0,0,0,0,0,,
2015-Aug,20,0,0,0,0,0,0,0,0,0,0,,
2015-Sep,17,0,0,0,0,0,0,0,0,0,0,,
2015-Oct,16,0,0,0,0,0,0,0,0,0,0,,
2015-Nov,25,0,0,0,0,0,0,0,0,0,0,,
2015-Dec,14,0,0,0,0,0,0,0,0,0,0,,
2016-Jan,13,0,0,0,0,0,0,0,0,0,0,,
2016-Feb,14,23,1,0,0,0,0,0,0,0,0,,
2016-Mar,22,62,1,0,0,0,0,0,0,0,0,,
2016-Apr,13,0,0,0,0,0,0,0,0,0,0,,
2016-May,27,66,1,0,0,0,0,0,0,0,0,,
2016-Jun,17,0,0,0,0,0,0,0,0,0,0,,
2016-Jul,16,0,0,0,0,0,0,0,0,0,0,,
2016-Aug,38,0,0,0,0,0,0,0,0,0,0,,